Product_ID,Warehouse,Order_Date,Shipment_Date,Lead_Time,Demand_Forecast,Inventory_Level,Stockout_Flag,Backorder_Flag,Supplier_ID,Order_Quantity,Shipment_Quantity,Product_Category,Product_Price,Customer_ID,Order_Priority,Actual_Lead_Time,Lead_Time_Variance,Demand_vs_Inventory,Fulfillment_Rate,Stockout_Risk
8270,A,2023-01-01,2023-01-02,8,839,481,0,0,397,98,40,Clothing,387.89,2014,High,1,-7,358,40.816326530612244,1
1860,C,2023-01-01,2023-01-02,8,351,332,0,1,483,52,35,Furniture,891.03,6805,High,1,-7,19,67.3076923076923,1
6390,C,2023-01-01,2023-01-02,5,398,156,0,0,160,34,43,Food,933.21,3833,Medium,1,-4,242,126.47058823529412,1
6191,A,2023-01-01,2023-01-02,5,972,418,1,0,161,32,45,Electronics,628.57,3640,Medium,1,-4,554,140.625,0
6734,D,2023-01-01,2023-01-02,3,529,428,0,0,325,44,41,Electronics,70.33,9297,Medium,1,-2,101,93.18181818181817,1
7265,A,2023-01-01,2023-01-02,7,103,457,1,1,354,4,64,Food,471.94,3590,Low,1,-6,-354,1600.0,0
1466,C,2023-01-01,2023-01-02,6,752,221,0,0,352,48,15,Clothing,26.76,8543,Medium,1,-5,531,31.25,1
5426,C,2023-01-01,2023-01-02,1,777,363,0,0,376,98,44,Electronics,522.83,7374,Low,1,0,414,44.89795918367347,1
6578,D,2023-01-01,2023-01-02,4,353,345,0,0,258,16,42,Clothing,506.4,5052,Low,1,-3,8,262.5,1
9322,A,2023-01-01,2023-01-02,6,764,98,0,0,338,60,59,Furniture,423.09,3230,Low,1,-5,666,98.33333333333333,1
2685,C,2023-01-01,2023-01-02,6,678,219,0,0,142,47,85,Clothing,343.64,1925,Medium,1,-5,459,180.85106382978725,1
1769,C,2023-01-01,2023-01-02,3,666,412,0,0,462,75,4,Food,583.18,3705,High,1,-2,254,5.333333333333334,1
7949,A,2023-01-01,2023-01-02,6,195,243,0,0,413,15,71,Clothing,185.02,3992,Medium,1,-5,-48,473.3333333333333,0
3433,A,2023-01-01,2023-01-02,6,266,453,1,1,251,94,29,Electronics,36.06,5361,Medium,1,-5,-187,30.851063829787233,0
6311,B,2023-01-01,2023-01-02,9,932,258,1,1,400,56,41,Electronics,788.83,6659,Medium,1,-8,674,73.21428571428571,0
6051,D,2023-01-01,2023-01-02,9,430,476,0,1,179,91,6,Furniture,787.74,2376,Medium,1,-8,-46,6.593406593406594,0
7420,D,2023-01-01,2023-01-02,2,997,440,0,0,236,16,39,Electronics,583.61,5582,Medium,1,-1,557,243.75,1
2184,A,2023-01-01,2023-01-02,4,987,193,0,0,312,1,81,Food,831.79,1913,Medium,1,-3,794,8100.0,1
5555,D,2023-01-01,2023-01-02,9,953,374,0,0,485,25,66,Food,517.82,6994,High,1,-8,579,264.0,1
4385,C,2023-01-01,2023-01-02,4,161,149,0,0,264,64,81,Electronics,16.48,3952,Medium,1,-3,12,126.5625,1
7396,A,2023-01-01,2023-01-02,8,273,493,0,0,482,92,93,Electronics,156.79,8387,High,1,-7,-220,101.08695652173914,0
9666,A,2023-01-01,2023-01-02,3,352,366,0,0,264,43,27,Electronics,464.97,8867,Low,1,-2,-14,62.7906976744186,0
3558,A,2023-01-01,2023-01-02,3,560,497,0,0,296,14,7,Electronics,863.65,3713,Low,1,-2,63,50.0,1
8849,B,2023-01-01,2023-01-02,9,723,154,0,0,401,98,11,Furniture,233.33,6104,High,1,-8,569,11.224489795918368,1
3047,D,2023-01-02,2023-01-03,8,314,498,1,0,361,48,90,Furniture,43.7,7931,High,1,-7,-184,187.5,0
3747,B,2023-01-02,2023-01-03,1,338,21,0,1,147,68,32,Furniture,418.38,2039,Low,1,0,317,47.05882352941176,1
1189,C,2023-01-02,2023-01-03,2,514,457,0,0,226,14,87,Furniture,76.05,7815,Medium,1,-1,57,621.4285714285714,1
3734,D,2023-01-02,2023-01-03,3,838,115,0,0,467,80,51,Furniture,554.92,8797,Medium,1,-2,723,63.74999999999999,1
4005,B,2023-01-02,2023-01-03,2,841,112,0,0,235,15,40,Electronics,65.07,9714,High,1,-1,729,266.66666666666663,1
5658,A,2023-01-02,2023-01-03,3,844,432,0,0,131,98,7,Clothing,26.46,5413,Low,1,-2,412,7.142857142857142,1
2899,B,2023-01-02,2023-01-03,8,774,210,1,1,200,77,1,Furniture,943.82,2142,Medium,1,-7,564,1.2987012987012987,0
8734,A,2023-01-02,2023-01-03,6,225,23,0,0,176,17,25,Clothing,668.64,1741,High,1,-5,202,147.05882352941177,1
2267,B,2023-01-02,2023-01-03,7,352,282,1,0,294,92,95,Furniture,128.29,5875,Low,1,-6,70,103.26086956521738,0
2528,B,2023-01-02,2023-01-03,6,944,291,0,0,300,52,6,Clothing,560.65,1312,Low,1,-5,653,11.538461538461538,1
4556,B,2023-01-02,2023-01-03,1,810,362,0,0,167,10,92,Electronics,265.8,4144,High,1,0,448,919.9999999999999,1
4890,A,2023-01-02,2023-01-03,3,296,400,0,0,127,17,95,Electronics,763.47,7471,High,1,-2,-104,558.8235294117646,0
9838,B,2023-01-02,2023-01-03,1,733,55,0,0,499,8,16,Food,816.06,9798,Low,1,0,678,200.0,1
6393,D,2023-01-02,2023-01-03,9,512,265,1,1,156,2,15,Electronics,512.53,2631,Medium,1,-8,247,750.0,0
9792,D,2023-01-02,2023-01-03,9,555,53,0,0,302,56,22,Food,415.4,7262,Low,1,-8,502,39.285714285714285,1
9433,D,2023-01-02,2023-01-03,5,875,336,0,0,154,65,18,Clothing,324.02,1021,Medium,1,-4,539,27.692307692307693,1
8513,A,2023-01-02,2023-01-03,4,153,107,0,0,182,55,50,Furniture,42.51,3404,Low,1,-3,46,90.9090909090909,1
3612,A,2023-01-02,2023-01-03,9,746,201,0,0,205,69,72,Electronics,565.12,3625,Medium,1,-8,545,104.34782608695652,1
8041,D,2023-01-02,2023-01-03,9,438,201,0,0,350,99,10,Food,513.84,1953,Low,1,-8,237,10.1010101010101,1
7235,D,2023-01-02,2023-01-03,3,458,421,0,0,441,86,49,Clothing,220.89,8098,High,1,-2,37,56.97674418604651,1
6486,D,2023-01-02,2023-01-03,5,250,336,0,1,431,80,70,Furniture,536.73,4908,Low,1,-4,-86,87.5,0
8099,C,2023-01-02,2023-01-03,3,199,382,0,0,459,73,10,Electronics,472.96,5614,High,1,-2,-183,13.698630136986301,0
1775,D,2023-01-02,2023-01-03,2,333,473,0,0,232,36,39,Furniture,268.07,4659,Medium,1,-1,-140,108.33333333333333,0
9226,B,2023-01-02,2023-01-03,1,643,217,0,0,456,9,58,Furniture,745.67,9394,Medium,1,0,426,644.4444444444445,1
4152,C,2023-01-03,2023-01-04,2,161,242,1,1,291,14,71,Electronics,253.42,8725,Low,1,-1,-81,507.1428571428571,0
2585,C,2023-01-03,2023-01-04,8,295,353,0,0,131,74,42,Food,456.53,5091,High,1,-7,-58,56.75675675675676,0
4943,A,2023-01-03,2023-01-04,8,641,387,0,0,197,22,45,Electronics,538.08,2830,High,1,-7,254,204.54545454545453,1
8555,B,2023-01-03,2023-01-04,3,854,177,0,0,367,16,99,Food,813.24,9386,Medium,1,-2,677,618.75,1
4073,A,2023-01-03,2023-01-04,7,205,474,0,0,206,41,28,Food,426.34,5054,Low,1,-6,-269,68.29268292682927,0
2021,A,2023-01-03,2023-01-04,7,394,60,0,0,165,67,89,Furniture,214.93,7466,High,1,-6,334,132.8358208955224,1
4843,B,2023-01-03,2023-01-04,2,744,404,0,0,151,28,92,Food,24.67,6731,High,1,-1,340,328.57142857142856,1
8989,A,2023-01-03,2023-01-04,9,550,35,1,0,298,94,73,Food,259.54,6877,Low,1,-8,515,77.6595744680851,0
7873,B,2023-01-03,2023-01-04,3,633,357,0,0,387,29,5,Electronics,753.02,2638,High,1,-2,276,17.24137931034483,1
6675,B,2023-01-03,2023-01-04,2,255,45,0,0,331,65,57,Food,822.27,9407,Medium,1,-1,210,87.6923076923077,1
1161,A,2023-01-03,2023-01-04,3,505,94,0,1,262,28,80,Electronics,604.68,3781,Medium,1,-2,411,285.7142857142857,1
5297,D,2023-01-03,2023-01-04,2,995,326,0,0,340,86,29,Electronics,948.85,1675,Low,1,-1,669,33.72093023255814,1
1995,A,2023-01-03,2023-01-04,8,825,43,0,0,489,32,55,Clothing,526.96,3946,High,1,-7,782,171.875,1
8629,C,2023-01-03,2023-01-04,5,837,319,1,1,121,52,23,Food,484.53,6573,Medium,1,-4,518,44.230769230769226,0
